"","ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification","Site"
"634","CTC_1360","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,28014.31,5982.8,60,43.20000076,26.5,"Semi-circumferential","Castelcivita"
"635","CTC_1361","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","0%",NA,10332.51,2958.68,30.20000076,32.29999924,23.20000076,"Multi-platform","Castelcivita"
"636","CTC_1362","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,5467.52,2185.85,35.59999847,26.10000038,16.70000076,"Multidirectional","Castelcivita"
"637","CTC_1363","Artec.Spider","gic","Coarse-grained chert","Core","Other","Other","0%",NA,5909.45,1994.89,29.39999962,27.39999962,17.5,"Multi-platform","Castelcivita"
"638","CTC_1364","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","0%",NA,4432.62,1735.1,24.20000076,17.20000076,32,"Multidirectional","Castelcivita"
"639","CTC_1365","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,4461.63,1795.01,28.5,22.5,19.70000076,"Multidirectional","Castelcivita"
"640","CTC_1366","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","33-66%",NA,15125.47,3794.19,29.89999962,42.40000153,29.39999962,"Semi-circumferential","Castelcivita"
"641","CTC_1367","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","66-99%",NA,55068.09,9088.91,67.80000305,31,56.90000153,"Initial narrow-sided","Castelcivita"
"642","CTC_1369","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,32098.89,7156.54,65,40,30.5,"Undetermined","Castelcivita"
"643","CTC_1370","Artec.Spider","gic","Coarse-grained chert","Blank","Flake","Semi-cortical","33-66%","Complete",57862.92,11536.88,99,60.40000153,27.29999924,NA,"Castelcivita"
"644","CTC_1371","Artec.Spider","gic","Quartzite","Blank","Flake","Maintenance","33-66%","Complete",17981.8,6132.13,82,46,13.80000019,NA,"Castelcivita"
"645","CTC_1374","Artec.Spider","gic","Fine-grained chert","Core","Other","Other","1-33%",NA,12027.87,3469.67,38.29999924,36.40000153,40.29999924,"Semi-circumferential","Castelcivita"
"646","CTC_14","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","0%",NA,9229.53,2885.87,30.60000038,34.5,22.10000038,"Multi-platform","Castelcivita"
"647","CTC_142","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",166.83,257.28,18.89999962,7.5,3.200000048,NA,"Castelcivita"
"648","CTC_144","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Maintenance","0%","Complete",212.37,385.07,26.20000076,8.300000191,2.400000095,NA,"Castelcivita"
"649","CTC_145","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",58.51,154.82,18.20000076,4.300000191,1.5,NA,"Castelcivita"
"650","CTC_146","Artec.Micro","rsa'","Coarse-grained chert","Tool","Bladelet","Optimal","0%","Complete",18.6,59.21,9.199999809,3.700000048,1.299999952,NA,"Castelcivita"
"651","CTC_149","Artec.Micro","rsa'","Fine-grained chert","Tool","Bladelet","Optimal","0%","Complete",40.82,90.3,10.80000019,4.5,1.5,NA,"Castelcivita"
"652","CTC_1498","Artec.Spider","ars","Quartzite","Blank","Blade","Maintenance","0%","Complete",6375.44,3224.67,62.09999847,30.79999924,11.10000038,NA,"Castelcivita"
"653","CTC_15","Artec.Spider","rsa'","Fine-grained chert","Core","Other","Other","33-66%",NA,10784.81,3096.95,31.39999962,33,40.20000076,"Semi-circumferential","Castelcivita"
"654","CTC_1500","Artec.Spider","gic","Fine-grained chert","Blank","Blade","Maintenance","0%","Complete",1382.97,1077.33,35.09999847,15.89999962,6.800000191,NA,"Castelcivita"
"655","CTC_1501","Artec.Spider","gic","Fine-grained chert","Blank","Flake","Maintenance","0%","Complete",10247.45,3570.8,43.70000076,38,16.20000076,NA,"Castelcivita"
"656","CTC_1502","Artec.Spider","rsa'","Fine-grained chert","Blank","Flake","Maintenance","0%","Complete",3254.51,1851.26,35.5,8,6.5,NA,"Castelcivita"
"657","CTC_1503","Artec.Spider","gic","Fine-grained chert","Core-Tool","Blade","Maintenance","0%","Complete",2399.14,1514.26,42.70000076,17.29999924,10.69999981,"Burin core","Castelcivita"
"658","CTC_1505","Artec.Spider","gic","Fine-grained chert","Blank","Flake","Maintenance","0%","Complete",1065.31,843.84,23.39999962,20.29999924,4.800000191,NA,"Castelcivita"
"659","CTC_1506","Artec.Spider","gic","Fine-grained chert","Blank","Flake","Maintenance","0%","Complete",1234.84,975.74,23.20000076,22.5,5.5,NA,"Castelcivita"
"660","CTC_1508","Artec.Spider","gic","Fine-grained chert","Core-Tool","Flake","Semi-cortical","1-33%","Distal",2901.81,1256.88,23,22.79999924,11.5,"Carinated","Castelcivita"
"661","CTC_1509","Artec.Spider","gic","Fine-grained chert","Tool","Flake","Optimal","0%","Distal",840.74,590.75,17,13.69999981,8,NA,"Castelcivita"
"662","CTC_1512","Artec.Spider","rsa'","Quartzite","Core","Other","Other","33-66%",NA,6126.98,2067.87,30,25.29999924,24,"Multidirectional","Castelcivita"
