ID,unit,unit.extended,square,sub.square,raw.material,raw.material.extended,termal.alteration,frost.alteration,patina,cortex,cortex.position,cortical.surface,class,laminar.y.n,carinated,classification.1,classification.2,classification.3,classification.4,length,width,thickness,volume,surface,flaking.surface.length,flaking.surface.width,core.blank,blank.production,platforms.number,surfaces.number,flaking.surface.scars.count,platform.scars.count,scar.count.total,blade.removals.number,bladelet.removals.number,flake.removals.number,initial.preparation,back,flaking.surface,reduction.pattern,flaking.surface.profile,flaking.surface.2.profile,last.removal,second.last.removal,last.removal.second.surface,second.last.removal.second.surface,second.flaking.surface.length,second.flaking.surface.width,last.removal.length,last.removal.width,second.removal.length,second.removal.width,last.removal.length.second.surface,last.removal.width.second.surface,second.last.removal.length.second.surface,second.last.removal.width.second.surface,profile.last.removal,profile.second.removal,profile.last.removal.second.surface,profile.second.last.removal.second.surface,last.removal.orientation,second.removal.orientation,last.removal.orientation.second.surface,second.last.removal.orientation.second.surface,distal.end.last.removal,distal.end.second.removal,distal.end.last.removal.second.surface,distal.end.second.last.removal.second.surface,striking.angle.meshlab,striking.angle.visual,second.striking.angle.visual,striking.platform,platform.ridge.preparation,second.striking.platform,second.platform.ridge.preparation,flaking.surface.maintenance,maintenance.removal.location,lateral.maintenance,lateral.maintenance.orientation,core.axis,discard,VRM.generations.number.length.base,VRM.generations.number.length.platform,VRM.generations.number.width,VRM.generations.number.thickness,mesh
RF.c_109,A2,A2,115,NA,Maiolica,B2-4,NA,NA,NA,33-66%,Back,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,30,42.59999847,14.5,NA,NA,NA,NA,Flake,Flake,NA,NA,NA,NA,NA,NA,NA,3,NA,Cortical;Scars,Multidirectional,NA,Slightly-Convex,NA,Flake,NA,NA,NA,NA,NA,20.20000076,18.39999962,NA,NA,NA,NA,NA,NA,Inverse curvature,NA,NA,NA,Axial,NA,NA,NA,Irregular,NA,NA,NA,NA,NA,NA,Faceted,None,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_11,A1,A1,67,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral left,597.52,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,50.20000076,33.09999847,23.20000076,17736.48828,4251.160382,50.20000076,25.39999962,Flake,Bladelet,1,1,15,1,16,1,8,NA,Shaping-out,Crest,Unidirectional,Convergent,Slightly-Convex,NA,Bladelet,Bladelet,NA,NA,NA,NA,26.5,6.300000191,30.70000076,7.800000191,NA,NA,NA,NA,Torse,Torse,NA,NA,Off-axis left,Off-axis left,NA,NA,Hinged,Hinged,NA,NA,79,76,NA,Plain,Flaking,NA,NA,Lateral coma-like blade,Flaking surface oblique,NA,NA,Maggiore lunghezza,Hinged scars,NA,NA,NA,NA,Yes
RF.c_110,A2,A2,110,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,41.09999847,24.29999924,16,NA,NA,NA,NA,Undetermined,Undetermined,2,2,NA,NA,NA,0,2,0,NA,Undetermined,Undetermined,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_111,A2,A2,118,NA,Scaglia.Variegata,SV3,NA,NA,NA,1-33%,Back,854.6,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,38.40000153,20.29999924,37.29999924,15903.11816,3750.338062,36.40000153,19.60000038,Nodule,Blade-Bladelet,1,1,5,7,12,0,3,0,NA,Cortical,Unidirectional,Sub-parallel,Slightly-Convex,Convex,Bladelet,NA,Bladelet,NA,18.70000076,17.60000038,26.10000038,11.5,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Irregular,NA,NA,NA,89,70,NA,Reshaped (tablet visible),Abraded,Plain,Abraded,Bladelet;Flake,Distal perpendicular,NA,NA,Maggiore lunghezza,Hinged scars,NA,NA,NA,NA,Yes
RF.c_112,A2,A2,55,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,Shatter,NA,Shatter,45.70000076,29.79999924,19.20000076,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,2,NA,Natural,Unidirectional,Sub-parallel,Convex,NA,Flake,NA,NA,NA,NA,NA,43.20000076,25,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Off-axis left,NA,NA,NA,Irregular,NA,NA,NA,NA,72,NA,Plain,None,NA,NA,NA,NA,NA,NA,NA,Dimension,NA,NA,NA,NA,No
RF.c_113,A2,A2,45,NA,Undetermined,Fine-grained,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Shatter,Shatter,NA,Shatter,23.29999924,46,36.79999924,NA,NA,NA,NA,Undetermined,Undetermined,1,1,NA,NA,NA,0,4,0,Indetermined,Indetermined,Unidirectional,Undetermined,Slightly-Convex,NA,Bladelet,Bladelet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_114,A2,A2,136,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,357.53,Core,Yes,FALSE,Multi-platform,Multi-platform,Multi-platform,Platform,33.70000076,35.79999924,18,8608.888672,2463.688094,33,35,Nodule,Bladelet,2-unrelated,2,16,1,17,0,9,0,NA,2 exploited faces,Unidirectional,Convergent,Slightly-Convex,Slightly-convex,Bladelet,Bladelet,Bladelet,Bladelet,36.79999924,33.70000076,29,8.699999809,NA,NA,NA,25.10000038,10.80000019,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Irregular,NA,72,NA,52,Plain,NA,Reshaped (tablet visible),Abraded,NA,NA,NA,NA,Maggiore lunghezza,Dimension,NA,NA,NA,NA,Yes
RF.c_115,A2,A2,30,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Flaking surface,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,72,49,19.5,NA,NA,68.69999695,55.20000076,Flake,Flake,2,2,NA,NA,NA,0,0,3,NA,2 exploited faces,Multidirectional,Multidirectional,Straight,Straight,Flake,Flake,Flake,NA,53.09999847,70,45,29.79999924,NA,NA,43.5,25,NA,NA,Straight,NA,Curved,NA,Axial,NA,Off-axis right,NA,Irregular,NA,Plunging,NA,NA,75,NA,Reshaped (tablet visible),None,Plain,None,NA,NA,NA,NA,NA,Flat surface,NA,NA,NA,NA,No
RF.c_116,A2,A2,55,NA,Scaglia.Rossa,SR,NA,NA,NA,1-33%,Lateral left,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,36.59999847,29,27.5,NA,NA,28.89999962,21.29999924,Angular debris,Undetermined,1,1,NA,NA,NA,0,0,0,Primary flaking,Cortical;Natural,Unidirectional,Sub-parallel,Slightly-Convex,NA,Flake,NA,NA,NA,NA,NA,29,16,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,NA,79,NA,Plain,Abraded,NA,NA,NA,NA,Flake,Left axial,NA,Raw material,0,3,4,3,No
RF.c_117,A2,A2,110,NA,Scaglia.Variegata,SV,NA,NA,NA,33-66%,Base;Lateral left,1980.4,Core,Yes,FALSE,Initial,Initial,"Initial, semi-circumferential",Platform,43.5,40.20000076,32.09999847,27001.7832,5496.50836,35.29999924,22.5,Nodule,Blade-Flake,1,1,14,2,16,0,0,0,Primary flaking,Cortical;Natural,Unidirectional,Sub-parallel,Slightly-Convex,NA,Bladelet,NA,NA,NA,NA,NA,32,11.30000019,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,90,84,NA,Plain,None,NA,NA,NA,NA,Flake,Right axial,"Lato corto, preferenza recul maggiore",Raw material,NA,NA,NA,NA,Yes
RF.c_118,A1,A1tetto,72,NA,Maiolica,B1,NA,NA,NA,33-66%,Back,2007.9,Core,No,FALSE,Tested,Tested,Tested,Tested,72.09999847,36.09999847,31.5,28298.35938,6802.238974,NA,NA,Slab,Blade-Flake,NA,NA,9,1,10,0,0,0,NA,Cortical,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw material,NA,NA,NA,NA,Yes
RF.c_119,A2,A2,102,NA,Maiolica,B2-4,NA,NA,NA,0,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,52.29999924,36.5,28.10000038,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,0,NA,NA,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,0,2,2,2,No
RF.c_12,A2,A2,126,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral left;Lateral right,843.55,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,61.5,26.20000076,20.20000076,13152.07031,3692.29897,61.5,25.5,Slab,Bladelet,1,1,7,1,8,1,5,NA,NA,Joint surface;Prepared,Unidirectional,Convergent,Convex,NA,Bladelet,Bladelet,NA,NA,NA,NA,47.40000153,11.89999962,50.09999847,9.399999619,NA,NA,NA,NA,Slightly curved,Slightly curved,NA,NA,Axial,Axial,NA,NA,Convergent,Convergent,NA,NA,77,46,NA,Plain,Flaking,NA,NA,Lateral coma-like blade,Flaking surface oblique,NA,NA,Maggiore lunghezza,Hinged scars,1,0,1,2,Yes
RF.c_120,A1,A1,58,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,984.8,Core,Yes,FALSE,Initial,Initial,"Initial, undetermined",Platform,62,55,27,34073.27344,7916.852495,50,14,Angular debris,Blade-Flake,1,1,17,3,20,1,NA,0,NA,Natural,Unidirectional,Sub-parallel,Slightly-Convex,Straight,Blade,NA,NA,NA,32.59999847,20,38,13.39999962,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,72,78,65,Plain,None,Plain,None,NA,NA,NA,NA,Maggiore lunghezza,Raw material,NA,NA,NA,NA,Yes
RF.c_121,A2,A2,101,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral right,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,40.40000153,34.20000076,34.20000076,NA,NA,NA,NA,Undetermined,Undetermined,NA,NA,NA,NA,NA,0,0,0,NA,NA,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,NA,NA,NA,NA,No
RF.c_122,A2,A2,86,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,57,67.5,38.70000076,NA,NA,NA,NA,Angular debris,Flake,NA,3,NA,NA,NA,0,0,6,NA,2 exploited faces,Multidirectional,NA,NA,NA,Flake,NA,NA,NA,NA,NA,55,37.59999847,NA,NA,NA,NA,NA,NA,Inverse curvature,NA,NA,NA,Off-axis right,NA,NA,NA,Convergent;Irregular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Undetermined,1,1,3,1,No
RF.c_123,A2R,A2R,126,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,35,44,40,NA,NA,NA,NA,Nodule,Flake,NA,NA,NA,NA,NA,0,0,4,NA,2 exploited faces,Undetermined,NA,NA,NA,Flake,NA,NA,NA,NA,NA,22.10000038,19.29999924,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plain,None,NA,NA,NA,NA,NA,NA,NA,Undetermined,0,1,3,2,No
RF.c_124,A1,A1tetto,72,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back;Base,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,32,50,48.5,NA,NA,NA,NA,Block,Flake,NA,NA,NA,NA,NA,0,0,5,NA,2 exploited faces,Multidirectional,NA,Convex,Convex,Flake,NA,NA,NA,NA,NA,21.20000076,16.10000038,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw material,2,3,2,3,No
RF.c_125,A1,A1tetto,63,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,31.20000076,57,55.70000076,NA,NA,NA,NA,Block,Flake,4,NA,NA,NA,NA,0,0,6,NA,2 exploited faces,Multidirectional,NA,Straight,Slightly-convex,Flake,NA,Flake,NA,NA,NA,24,30.89999962,NA,NA,24.29999924,26,NA,NA,Inverse curvature,NA,Curved,NA,Axial,NA,Axial,NA,Straight,NA,Straight,NA,NA,NA,NA,Reshaped (tablet visible),NA,Reshaped (tablet visible),NA,NA,NA,NA,NA,NA,Hinged scars;Raw material,3,2,3,4,No
RF.c_126,A2,A2,100,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,29.39999962,48,51.40000153,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,4,NA,2 exploited faces,Centripetal,NA,Convex,Convex,Flake,NA,Flake,NA,NA,NA,26.60000038,24.70000076,NA,NA,30.60000038,41.5,NA,NA,Inverse curvature,NA,Straight,NA,Axial,NA,Axial,NA,Hinged,NA,Straight,NA,NA,77,NA,Plain,None,NA,NA,NA,NA,NA,NA,NA,Raw material,0,2,2,3,No
RF.c_127,A1,A1tetto,72,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Flake,Parallel,NA,NA,41.79999924,33.5,15.30000019,NA,NA,NA,NA,Undetermined,Flake,1,1,NA,NA,NA,0,0,5,NA,Cortical;Scars,Centripetal,NA,Straight,NA,Flake,Flake,NA,NA,NA,NA,17.29999924,17,28,19.39999962,NA,NA,NA,NA,Straight,Straight,NA,NA,Axial,Axial,NA,NA,Straight,Straight,NA,NA,NA,NA,NA,Faceted,None,NA,NA,NA,NA,NA,NA,NA,Dimension;Flat surface,0,2,3,3,No
RF.c_128,A2,A2,105,NA,Scaglia.Rossa,SR,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Flake,Parallel,NA,NA,41,36.20000076,19,NA,NA,NA,NA,Undetermined,Flake,1,1,NA,NA,NA,0,0,5,NA,Cortical;Scars,Centripetal,NA,Straight,NA,Flake,Flake,NA,NA,NA,NA,19.70000076,19.5,25.39999962,15.69999981,NA,NA,NA,NA,Straight,Straight,NA,NA,Axial,Axial,NA,NA,Straight,Straight,NA,NA,NA,NA,NA,Faceted,None,NA,NA,NA,NA,NA,NA,NA,Dimension;Hinged scars,0,1,1,1,No
RF.c_129,A2,A2,128,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Flake,Parallel,NA,NA,32.59999847,27.39999962,14,NA,NA,NA,NA,Undetermined,Flake,1,1,NA,NA,NA,0,0,5,NA,Cortical;Scars,Centripetal,NA,Straight,NA,Flake,Flake,NA,NA,NA,NA,16.29999924,17.29999924,12,13.19999981,NA,NA,NA,NA,Slightly curved,Slightly curved,NA,NA,Axial,Axial,NA,NA,Hinged,Straight,NA,NA,NA,NA,NA,Reshaped (tablet visible),NA,NA,NA,NA,NA,NA,NA,NA,Dimension,NA,NA,NA,NA,No
RF.c_13,A2,A2,55,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back,1383.02,Core,Yes,FALSE,Semicircumferential,Semi-circumferential,Semi-circumferential,Platform,48.5,36.29999924,47.79999924,34009.29688,5977.331084,48.5,36.29999924,Nodule,Blade-Bladelet,1,1,13,5,18,1,10,0,NA,Cortical,Unidirectional,Convergent,Slightly-Convex,NA,Bladelet,Bladelet,NA,NA,NA,NA,47.40000153,10.69999981,35.79999924,5.300000191,NA,NA,NA,NA,Curved,Slightly curved,NA,NA,Axial,Axial,NA,NA,Convergent,Convergent,NA,NA,81,66,NA,Reshaped (tablet visible),Abraded,NA,NA,Lateral coma-like blade;Lateral comma-like bladelet,Flaking surface oblique,Flake,Left axial;Right axial,Maggiore lunghezza,Hinged scars,NA,NA,NA,NA,Yes
RF.c_130,A2,A2,41,NA,Maiolica,B2-4,NA,NA,NA,33-66%,Base,NA,Core,No,FALSE,Flake,Parallel,NA,NA,32.70000076,34.09999847,12,NA,NA,NA,NA,Flake,Flake,1,1,NA,NA,NA,0,0,3,NA,Cortical,Bidirectional,NA,Straight,NA,Flake,NA,NA,NA,NA,NA,23.29999924,21.70000076,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,NA,NA,NA,Reshaped (tablet visible),NA,NA,NA,NA,NA,NA,NA,NA,Dimension;Hinged scars,NA,NA,NA,NA,No
RF.c_131,A2,A2,90,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Base,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,32.40000153,29.5,15,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,6,NA,2 exploited faces,Centripetal,NA,Convex,Straight,Flake,NA,NA,NA,NA,NA,16.20000076,11.39999962,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dimension,NA,NA,NA,NA,No
RF.c_132,A2,A2,80-86,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral left,590.9,Core,Yes,FALSE,Initial,Initial,"Initial, semi-circumferential",Platform,24.5,38.79999924,36.09999847,11720.69727,3276.264291,21.5,NA,Nodule,Bladelet,1,1,7,8,15,0,1,1,NA,Natural,Unidirectional,Convergent,Straight,NA,Bladelet,NA,NA,NA,NA,NA,21.70000076,8.600000381,NA,NA,NA,NA,NA,NA,Torse,NA,NA,NA,Off-axis right,NA,NA,NA,Convergent,NA,NA,NA,82,69,NA,Reshaped (tablet visible),None,NA,NA,NA,NA,NA,NA,"Lato corto, preferenza recul maggiore",Raw material,NA,NA,NA,NA,Yes
RF.c_133,A2,A2,110,NA,Maiolica,B1,NA,NA,NA,0%,NA,0,Core,Yes,FALSE,Initial,Initial,"Initial, semi-circumferential",Platform,21.10000038,43.59999847,38.79999924,12603.9541,3342.479864,38.5,43.59999847,Flake,Blade-Bladelet,1,1,13,0,13,0,0,5,NA,Ventral face,Unidirectional,Sub-parallel,Convex,NA,Flake,Flake,NA,NA,NA,NA,22.5,15.39999962,20.79999924,19.89999962,NA,NA,NA,NA,Curved,Curved,NA,NA,Axial,Axial,NA,NA,Straight,Straight,NA,NA,80,75,NA,Plain,Abraded,Plain,Abraded,Crest,Flaking surface perpendicular,NA,NA,"Lato corto, preferenza recul maggiore",Undetermined,1,1,1,2,Yes
RF.c_134,A2,A2,120,NA,Scaglia.Rossa,SR,NA,NA,NA,1-33%,Back;Base;Flaking surface,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,32,32,22,NA,NA,NA,NA,Undetermined,Flake,NA,2,NA,NA,NA,0,0,8,NA,2 exploited faces,Multidirectional,NA,NA,NA,Flake,NA,NA,NA,NA,NA,13,25.29999924,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Straight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hinged scars,NA,NA,NA,NA,No
RF.c_135,A2,A2,111,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,NA,NA,Shatter,35,31,15.80000019,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,5,NA,2 exploited faces,Multidirectional,Multidirectional,Convex,Convex,Flake,NA,NA,NA,NA,NA,10.80000019,11.30000019,NA,NA,NA,NA,NA,NA,Inverse curvature,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hinged scars,1,2,2,3,No
RF.c_136,A1,A1tetto,71,NA,Maiolica,B2-4,NA,NA,NA,33-66%,Back;Flaking surface,1220.8,Core,Yes,FALSE,Initial,Initial,"Initial, narrow-sided",Platform,29.5,28.79999924,41.29999924,13937.08984,3478.177265,29,27,Nodule,Bladelet,1,1,12,1,13,0,0,0,Decortification,Cortical,Unidirectional,Sub-parallel,Straight,NA,Flake,NA,NA,NA,NA,NA,9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,NA,Plain,None,NA,NA,NA,NA,Flake,Right perpendicular,"Lato corto, preferenza recul maggiore",Raw material,NA,NA,NA,NA,Yes
RF.c_137,A1,A1tetto,72,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Back;Base,1993,Core,Yes,FALSE,Initial,Initial,"Initial, undetermined",Platform,69.5,74.5,36.79999924,56703.5,9965.1621,60,NA,Undetermined,Bladelet,1,1,12,1,13,0,2,3,Primary flaking,Natural,Unidirectional,Sub-parallel,Convex,NA,Bladelet,NA,NA,NA,NA,NA,32.5,7.599999905,NA,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,78,NA,NA,Reshaped (tablet visible),None,NA,NA,NA,NA,Flake,Left axial,Maggiore lunghezza,Raw material,0,2,4,2,Yes
RF.c_138,A1,A1,62,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral left,1275.2,Core,Yes,FALSE,Initial,Initial,"Initial, narrow-sided",Platform,37.79999924,50,63.29999924,42407.25,7635.960043,33.29999924,42.5,Block,Blade-Bladelet,1,1,14,9,23,0,1,4,Primary flaking,Prepared,Unidirectional,Convergent,Convex,NA,Blade,NA,NA,NA,NA,NA,32.59999847,14,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Off-axis right,NA,NA,NA,Convergent,NA,NA,NA,80,77,NA,Reshaped (tablet visible),None,NA,NA,Flake;Lateral comma-like flake,Distal perpendicular;Flaking surface oblique,NA,NA,"Lato corto, preferenza recul maggiore",Hinged scars,NA,NA,NA,NA,Yes
RF.c_139,A2,A2cp,99,NA,Maiolica,B2-4,NA,NA,NA,1-33%,Lateral right,639.5,Core,Yes,FALSE,Initial,Initial,"Initial, narrow-sided",Platform,52.79999924,30.10000038,37.79999924,25076.85547,5516.920265,37.29999924,30.10000038,Nodule,Blade,2-opposed,1,13,4,17,1,0,2,Primary flaking,Crest,Bidirectional,Sub-parallel,Straight,NA,Blade,NA,NA,NA,NA,NA,34.59999847,15.5,NA,NA,NA,NA,NA,NA,Straight,NA,NA,NA,Axial,NA,NA,NA,Hinged,NA,NA,NA,63,65,NA,Reshaped (tablet visible),Abraded,Reshaped (tablet visible),None,Flake,Distal oblique,Flake,Right perpendicular,Maggiore lunghezza,Flat surface;Hinged scars,NA,NA,NA,NA,Yes
RF.c_14,A2,A2,110,NA,Maiolica,B2-4,NA,NA,NA,66-99%,Back;Lateral left;Lateral right,1421.89,Core,Yes,FALSE,Narrow-sided,Narrow-sided,Narrow-sided,Platform,42.59999847,30.29999924,42.09999847,16750.89258,3885.58243,42.59999847,30.20000076,Nodule,Bladelet,1,1,9,2,11,0,9,NA,NA,Prepared,Unidirectional,Sub-parallel,Straight,NA,Bladelet,Bladelet,NA,NA,NA,NA,26.5,10.5,11.10000038,3.799999952,NA,NA,NA,NA,Straight,Straight,NA,NA,Axial,Axial,NA,NA,Hinged,Hinged,NA,NA,76,50,NA,Reshaped (tablet visible),Abraded,NA,NA,Debordant bladelet,Flaking surface axial,NA,NA,Maggiore lunghezza,Hinged scars,NA,NA,NA,NA,Yes
RF.c_140,A1,A1tetto,72,NA,Scaglia.Variegata,SV,NA,NA,NA,1-33%,NA,540,Core,Yes,FALSE,Initial,Initial,"Initial, narrow-sided",Platform,50.5,29,61.59999847,36952.38672,7008.018375,51.5,29,Flake,Blade-Bladelet,1,1,23,2,25,2,2,0,Indetermined,Crest,Unidirectional,Sub-parallel,Convex,NA,Bladelet,Chip,NA,NA,28,47.5,27,7.5,51.79999924,15.19999981,NA,NA,NA,NA,NA,Curved,NA,NA,NA,Axial,NA,NA,NA,NA,NA,NA,73,70,67,Plain,Abraded,Reshaped (tablet visible),NA,Flake;Overshot laminar,Flaking surface axial;Flaking surface perpendicular,NA,NA,Maggiore lunghezza,Hinged scars,NA,NA,NA,NA,Yes
RF.c_141,A2,A2cp,120,NA,Maiolica,B1,NA,NA,NA,1-33%,Lateral left,1429.2,Core,Yes,FALSE,Initial,Initial,"Initial, semi-circumferential",Platform,57.59999847,66,43.59999847,40871.32422,8039.968289,47.5,27.79999924,Undetermined,Blade-Bladelet,1,1,7,2,9,1,0,0,Primary flaking,Natural,Unidirectional,Convergent,Straight,NA,Chip,Blade,NA,NA,NA,NA,36.40000153,16,NA,NA,NA,NA,NA,NA,Slightly curved,NA,NA,NA,Axial,NA,NA,NA,Irregular,NA,NA,NA,76,67,NA,Reshaped (tablet visible),None,NA,NA,NA,NA,NA,NA,Maggiore lunghezza,Hinged scars;Raw material,NA,NA,NA,NA,Yes
RF.c_142,A2R,A2R,125,NA,Scaglia.Variegata,SV,NA,NA,NA,1-33%,Back;Base;Flaking surface,NA,Core,No,FALSE,Flake,Multidirectional,NA,NA,43,34.79999924,26.20000076,NA,NA,25.79999924,33.09999847,Undetermined,Flake,1,NA,NA,NA,NA,0,2,5,NA,Scars,Multidirectional,Multidirectional,Straight,NA,Flake,NA,NA,NA,NA,NA,20.60000038,12.69999981,NA,NA,NA,NA,NA,NA,Inverse curvature,NA,NA,NA,Off-axis right,NA,NA,NA,Hinged,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raw material,1,1,3,3,No
RF.c_144,A2,A2,88,NA,Maiolica,B2-4,NA,NA,NA,0%,NA,NA,Core,No,FALSE,Shatter,Shatter,NA,Shatter,30.89999962,35.79999924,17.5,NA,NA,NA,NA,Undetermined,Flake,NA,NA,NA,NA,NA,0,0,0,NA,2 exploited faces,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,5,No
