ID,Scanner,Spit,Raw_material,Class,Blank,Technology,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,Core_classification
Ca_48,Artec.Spider,AU11,Jasper,Core-Tool,Other,Other,1-33%,Other,6602.419434,2398.374106,22.29999924,23.5,38.40000153,Carinated
Ca_49,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Complete,7164.547852,2748.813013,22.60000038,27.89999962,43,Carinated
Ca_50,Artec.Spider,AU11,Chert,Core-Tool,Flake,Semi-cortical,1-33%,Complete,6340.241699,2230.657616,18.5,38.40000153,21.5,Carinated
Ca_51,Artec.Spider,AU11,Chert,Core-Tool,Flake,Maintenance,0%,Undetermined,5655.291016,2127.016976,18,20.39999962,41.59999847,Carinated
Ca_52,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Undetermined,4952.051758,1901.122651,15.10000038,24.60000038,34.79999924,Carinated
Ca_53,Artec.Spider,AU11,Jasper,Core-Tool,Flake,Initialization,66-99%,Complete,4944.871582,1874.481665,19.79999924,28.10000038,29,Carinated
Ca_54,Artec.Spider,AU11,Jasper,Tool,Flake,Semi-cortical,33-66%,Complete,3566.158691,1516.929213,28.10000038,21.89999962,13.30000019,NA
Ca_55,Artec.Spider,AU11,Chert,Tool,Flake,Maintenance,0%,Complete,4017.371582,1679.925016,33.40000153,22.10000038,15.39999962,NA
Ca_56,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Complete,3006.576172,1340.638226,27.79999924,22,12.69999981,Carinated
Ca_57,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Complete,2678.97583,1252.166475,13.30000019,23.60000038,21.60000038,Carinated
Ca_58,Artec.Spider,AU11,Chert,Tool,Flake,Optimal,0%,Complete,1144.127563,812.5776055,23.5,17.60000038,5.5,NA
Ca_59,Artec.Spider,AU11,Chert,Core-Tool,Flake,Optimal,0%,Complete,2779.367188,1222.103983,21.5,27.5,12.39999962,Carinated
Ca_60,Artec.Spider,AU11,Jasper,Tool,Flake,Maintenance,1-33%,Complete,3527.108643,1854.349742,37.59999847,27.10000038,6.699999809,NA
