ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
CTC_35,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,33-66%,Other,5413.78,1895.4,26.20000076,27.60000038,20.39999962,CTC_35.ply,1 unit = 1mm,495900,0.096634,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_350,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,2246.17,1107.6,26.5,19.39999962,14,CTC_350.ply,1 unit = 1mm,74984,0.191936,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_351,Castelcivita,rsa',Fine-grained chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,4675.44,2252.08,43.90000153,30.60000038,10.80000019,CTC_351.ply,1 unit = 1mm,154802,0.190506,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_352,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1669.82,1001.29,24.70000076,20.70000076,7.599999905,CTC_352.ply,1 unit = 1mm,67234,0.192371,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_353,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1150.48,686.1,18,17.39999962,9.399999619,CTC_353.ply,1 unit = 1mm,46584,0.191319,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_354,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,2160.58,1283.95,35.59999847,17.70000076,7,CTC_354.ply,1 unit = 1mm,84820,0.19374,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_355,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,1-33%,Other,3096.02,1376.42,34,13.5,17,CTC_355.ply,1 unit = 1mm,94940,0.197567,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_356,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,2975.92,1492.86,25.29999924,23.20000076,11.10000038,CTC_356.ply,1 unit = 1mm,407698,0.094663,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_357,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1944.52,1130.37,29.60000038,17.10000038,11.80000019,CTC_357.ply,1 unit = 1mm,309508,0.09502,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_358,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1409.52,783.51,24.70000076,13.89999962,10.69999981,CTC_358.ply,1 unit = 1mm,205760,0.100709,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_359,Castelcivita,rsa',Fine-grained chert,Core,Flake,Optimal,Bipolar,0%,Other,942.25,826.78,23.39999962,18.29999924,6.300000191,CTC_359.ply,1 unit = 1mm,217088,0.096485,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_36,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,1-33%,Other,8227.4,2661.49,28.5,35.29999924,19.10000038,CTC_36.ply,1 unit = 1mm,600000,0.103874,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_360,Castelcivita,rsa',Quartzite,Core,Other,Other,Bipolar,0%,Other,1187.67,832.85,29,16.70000076,7.699999809,CTC_360.ply,1 unit = 1mm,207218,0.097301,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_361,Castelcivita,rsa',Fine-grained chert,Tool,Flake,Optimal,NA,0%,Complete,1249.71,957.25,16,24,6.199999809,CTC_361.ply,1 unit = 1mm,249188,0.09727,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_362,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,1426.9,886.69,28.89999962,10.30000019,14.89999962,CTC_362.ply,1 unit = 1mm,241884,0.095304,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_365,Castelcivita,rsa',Fine-grained chert,Core,Flake,Optimal,Bipolar,0%,Proximal,436.09,438.67,NA,8.399999619,8.300000191,CTC_365.ply,1 unit = 1mm,100626,0.102678,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_366,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,615.99,441.86,15.30000019,12,8,CTC_366.ply,1 unit = 1mm,111564,0.102516,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_367,Castelcivita,rsa',Fine-grained chert,Blank,Blade,Maintenance,NA,0%,Complete,3058.49,1667.8,41.20000076,19.5,11.5,CTC_367.ply,1 unit = 1mm,300000,0.11597,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_368,Castelcivita,rsa',Fine-grained chert,Blank,Flake,Optimal,NA,0%,Complete,1489.65,963.1,27.60000038,21.29999924,8.399999619,CTC_368.ply,1 unit = 1mm,259610,0.095544,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_369,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,0%,Other,827.8,638.09,24,11.39999962,9,CTC_369.ply,1 unit = 1mm,172572,0.095193,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_37,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,21900.18,5157.52,49.79999924,40.59999847,31.20000076,CTC_37.ply,1 unit = 1mm,600000,0.14865,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_370,Castelcivita,rsa',Fine-grained chert,Tool,Flake,Semi-cortical,NA,1-33%,Complete,6094.63,2560.99,43.20000076,29.60000038,10.60000038,CTC_370.ply,1 unit = 1mm,600000,0.101615,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_371,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Multidirectional,1-33%,Other,12188.34,3391.42,37,35,34,CTC_371.ply,1 unit = 1mm,600000,0.119886,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_372,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,1-33%,Other,5869.9,2260.15,35.70000076,30.29999924,14.5,CTC_372.ply,1 unit = 1mm,593276,0.100534,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_375,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Bipolar,33-66%,Other,5433.83,2552.62,41.59999847,29,10.5,CTC_375.ply,1 unit = 1mm,600000,0.105519,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_376,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Multi-platform,0%,Other,6309.06,2196.03,34.59999847,26,17,CTC_376.ply,1 unit = 1mm,598598,0.099165,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_377,Castelcivita,rsa',Coarse-grained chert,Core,Flake,Semi-cortical,Multidirectional,33-66%,Other,8552.39,3019.39,24,51.29999924,19.20000076,CTC_377.ply,1 unit = 1mm,600000,0.11044,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_378,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,1-33%,Other,15896.45,3977.22,42.40000153,40.59999847,20.89999962,CTC_378.ply,1 unit = 1mm,600000,0.129986,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_379,Castelcivita,rsa',Coarse-grained chert,Core,Flake,Semi-cortical,Multidirectional,1-33%,Other,8942.08,2901.89,41.59999847,29,19.5,CTC_379.ply,1 unit = 1mm,600000,0.108364,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_38,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Wide-faced flat,1-33%,Other,16382.51,3992.1,30.10000038,43.90000153,31.20000076,CTC_38.ply,1 unit = 1mm,600000,0.12655,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_39,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,1-33%,Other,7424.88,2365.13,28.79999924,35.70000076,17.39999962,CTC_39.ply,1 unit = 1mm,600000,0.098213,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_4,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,8674.84,2441.29,31.70000076,27.79999924,18.5,CTC_4.ply,1 unit = 1mm,600000,0.103291,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_40,Castelcivita,rsa',Quartzite,Blank,Flake,Maintenance,NA,0%,Complete,13722.15,4598.81,53.40000153,41,11.39999962,CTC_40.ply,1 unit = 1mm,599992,0.136345,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_41,Castelcivita,rsa',Fine-grained chert,Blank,Flake,Maintenance,NA,0%,Complete,9801.63,3339.06,30.89999962,45.70000076,18.89999962,CTC_41.ply,1 unit = 1mm,600000,0.116009,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_42,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Semi-circumferential,0%,Other,5152.38,2245.85,37.29999924,30.89999962,18.89999962,CTC_42.ply,1 unit = 1mm,598138,0.096414,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_43,Castelcivita,gic,Fine-grained chert,Tool,Flake,Maintenance,NA,0%,Complete,5843.29,2297.17,22.60000038,43.09999847,12.30000019,CTC_43.ply,1 unit = 1mm,600000,0.10108,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_44,Castelcivita,gic,Fine-grained chert,Tool,Blade,Initialization,NA,66-99%,Complete,4529.38,2391.85,50.20000076,23.5,9.5,CTC_44.ply,1 unit = 1mm,300000,0.140749,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_45,Castelcivita,gic,Fine-grained chert,Tool,Flake,Maintenance,NA,0%,Complete,2378.17,1446.29,35.5,19,8.899999619,CTC_45.ply,1 unit = 1mm,365500,0.102089,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_46,Castelcivita,gic,Fine-grained chert,Tool,Blade,Optimal,NA,0%,Proximal,1263.11,1190.27,34.09999847,20.20000076,5.199999809,CTC_46.ply,1 unit = 1mm,273550,0.105483,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_48,Castelcivita,rsa',Coarse-grained chert,Core-Tool,Flake,Semi-cortical,Carinated,33-66%,Other,14911.86,3900.76,34.90000153,37,21,CTC_48.ply,1 unit = 1mm,500000,0.137497,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_49,Castelcivita,rsa',Fine-grained chert,Core-Tool,Flake,Semi-cortical,Carinated,1-33%,Complete,7448.24,2432.35,20.10000038,26.70000076,17.79999924,CTC_49.ply,1 unit = 1mm,500000,0.108833,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
CTC_5,Castelcivita,rsa',Fine-grained chert,Core,Other,Other,Narrow-sided,1-33%,Other,18245.88,4387.41,47.09999847,22.39999962,48.09999847,CTC_5.ply,1 unit = 1mm,600000,0.136693,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
