ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
Ca_314,Cala,AU13,Chert,Core-Tool,Other,Other,Carinated,0%,Other,4126.805176,1718.443829,34.29999924,28.29999924,15.19999981,Ca_314.ply,1 unit = 1mm,454834,0.100074,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_315,Cala,AU11,Jasper,Core,Other,Other,Initial,0%,Other,6320.495117,2112.859685,32,25.89999962,21,Ca_315.ply,1 unit = 1mm,553558,0.100635,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_316,Cala,AU12,Chert,Core,Other,Other,Multidirectional,1-33%,Other,27099.54297,5548.449608,44.5,42.59999847,35.79999924,Ca_316.ply,1 unit = 1mm,600000,0.154338,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_317,Cala,AU12,Chert,Core,Other,Other,Platform flake,1-33%,Other,23881.27344,5559.573383,48.70000076,43,25,Ca_317.ply,1 unit = 1mm,600000,0.154883,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_318,Cala,AU13,Siliceous limestone,Core,Other,Other,Semi-circumferential,0%,Other,15793.75391,3854.103907,47.09999847,31.70000076,23,Ca_318.ply,1 unit = 1mm,600000,0.128196,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_319,Cala,AU11,Chert,Core,Other,Other,Bipolar,33-66%,Other,28308.71484,6539.5119,72.30000305,26.79999924,34,Ca_319.ply,1 unit = 1mm,600000,0.161801,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_32,Cala,AU12,Jasper,Core-Tool,Other,Other,Carinated,33-66%,Other,4608.467285,1774.11487,15.60000038,24.70000076,14.39999962,Ca_32.ply,1 unit = 1mm,300000,0.123031,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_320,Cala,AU12,Jasper,Core,Other,Other,Semi-circumferential,1-33%,Other,7437.748047,2347.249029,33.79999924,26.70000076,22.29999924,Ca_320.ply,1 unit = 1mm,602940,0.101309,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_321,Cala,AU13,Jasper,Core,Other,Other,Semi-circumferential,0%,Other,3050.858398,1444.869361,28.79999924,21.39999962,17,Ca_321.ply,1 unit = 1mm,378692,0.10032,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
Ca_322,Cala,AU12,Chert,Core,Other,Other,Initial,1-33%,Other,5302.193848,1893.982369,32.59999847,22.70000076,17.70000076,Ca_322.ply,1 unit = 1mm,481472,0.101355,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
