"ID","Scanner","Layer","Raw_material","Class","Blank","Technology","Cortex","Preservation","Volume","Surface","Length","Width","Thickness","Core_classification"
"RB_577","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",28674.16797,6110.597871,42,49.7000007629395,39.2000007629395,"Multidirectional"
"RB_578","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","33-66%","Other",14202.96777,3599.123696,33.2000007629395,29.2999992370605,30.6000003814697,"Initial laminar"
"RB_579","Artec.Spider","A2","Chert","Core-Tool","Flake","Initialization","33-66%","Complete",25863.13477,5652.51691,32.7000007629395,44.2000007629395,59.9000015258789,"Carinated"
"RB_580","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",17549.87695,4207.537303,51.9000015258789,37.2000007629395,25.7000007629395,"Multidirectional"
"RB_581","Artec.Spider","A2","Chert","Core","Other","Initialization","66-99%","Other",14257.42578,3654.970194,43.0999984741211,34,26,"Initial laminar"
"RB_582","Artec.Spider","A2","Chert","Core-Tool","Other","Other","0%","Other",8683.68457,2551.233426,41.5999984741211,25,20.1000003814697,"Carinated"
"RB_583","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","33-66%","Other",11495.57617,3031.356489,37.0999984741211,36.9000015258789,19.7999992370605,"Multidirectional"
"RB_584","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",7682.316406,2570.902603,42.9000015258789,34.9000015258789,19.6000003814697,"Multidirectional"
"RB_585","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",4665.671875,1791.572802,33,22.7999992370605,19.7999992370605,"Semi-circumferential"
"RB_586","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",1982.296997,995.4097577,20,19.8999996185303,14.3000001907349,"Shatter laminar"
"RB_587","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",14571.57324,3549.737054,26.5,32.4000015258789,30.7999992370605,"Platform flake"
"RB_588","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",6023.888672,2040.930464,30.7000007629395,13.5,26.7999992370605,"Narrow-sided"
"RB_589","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",3386.852295,1406.449337,26.6000003814697,17.7999992370605,17.3999996185303,"Shatter laminar"
"RB_590","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","1-33%","Other",2034.804077,1003.957981,22.2000007629395,17.2999992370605,15.3999996185303,"Multidirectional"
"RB_591","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",5431.98584,1807.130769,19.7999992370605,24.7000007629395,25.2999992370605,"Semi-circumferential"
"RB_592","Artec.Spider","A2","Chert","Core","Other","Other","0%","Other",4968.677246,1685.260376,20.2000007629395,19,25.5,"Multi-platform"
"RB_593","Artec.Spider","A2","Chert","Core","Other","Semi-cortical","33-66%","Other",2793.793701,1348.859705,36.4000015258789,12.1999998092651,10,"Semi-circumferential"
"RB_594","Artec.Spider","A2","Chert","Core","Flake","Semi-cortical","33-66%","Other",15621.30371,4833.368085,52.5999984741211,33,18,"Multidirectional"
