ID,Site,Layer,Raw_material,Class,Blank,Technology,Core_classification,Cortex,Preservation,Volume,Surface,Length,Width,Thickness,File_list,Model_unit,#_of_polygons,Avg_edge_length(mm)/Resolution,Resolution_score,Scanner,Scan_software,Postprocessing_software,Coating
RB_1070,Bombrini,A1,Chert,Tool,Flake,Optimal,NA,0%,Complete,840.1862793,685.4427324,28.29999924,11.30000019,6.400000095,RB_1070.ply,1 unit = 1mm,181570,0.100337,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1078,Bombrini,A1,Chert,Tool,Flake,Initialization,NA,66-99%,Distal,9863.552734,3389.302067,42.90000153,19.89999962,3.900000095,RB_1078.ply,1 unit = 1mm,800000,0.105728,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1079,Bombrini,A1,Chert,Core,Other,Semi-cortical,Narrow-sided,1-33%,Other,4431.58,1700.23,24.39999962,18.10000038,28,RB_1079.ply,1 unit = 1mm,449872,0.100478,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1084,Bombrini,A1,Chert,Tool,Blade,Optimal,NA,0%,Distal,1243.983154,831.5137241,25.20000076,15.19999981,7.300000191,RB_1084.ply,1 unit = 1mm,217188,0.101203,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1086,Bombrini,A1,Chert,Core,Other,Semi-cortical,Platform flake,33-66%,Other,1084.336548,684.7452309,20.60000038,14.80000019,9.100000381,RB_1086.ply,1 unit = 1mm,564570,0.05481,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1145,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,23191.93164,5021.844905,36.29999924,39.20000076,37.79999924,RB_1145.ply,1 unit = 1mm,800000,0.126872,Moderate-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1146,Bombrini,A2,Chert,Core,Other,Semi-cortical,Platform flake,1-33%,Other,6020.734375,2130.822443,23,27.10000038,24.10000038,RB_1146.ply,1 unit = 1mm,658884,0.092357,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1147,Bombrini,A2,Chert,Core,Other,Other,Platform flake,0%,Other,17020.86328,4389.060032,21.39999962,38.59999847,47.70000076,RB_1147.ply,1 unit = 1mm,800000,0.118462,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1148,Bombrini,A2,Chert,Core,Flake,Semi-cortical,Narrow-sided,1-33%,Other,8385.614258,2719.984056,42.20000076,16.20000076,26.79999924,RB_1148.ply,1 unit = 1mm,800000,0.094549,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1149,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,13111.2373,3902.46089,57.09999847,32.70000076,20,RB_1149.ply,1 unit = 1mm,800000,0.111658,Detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1150,Bombrini,A2,Chert,Core,Other,Other,Multidirectional,0%,Other,8839.828125,2785.049959,36.40000153,26.70000076,23,RB_1150.ply,1 unit = 1mm,800000,0.095547,Ultra-detailed,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
RB_1151,Bombrini,A2,Chert,Core,Other,Semi-cortical,Tested,33-66%,Other,52072.61328,9842.397966,60,66.19999695,27.5,RB_1151.ply,1 unit = 1mm,797880,0.179313,Low-detail,Artec.Spider-1,Artec Studio Professional v.16.0,Artec Studio Professional v.16.0,No
